ID,Group,WD,Weight
1,1,1,240
1,1,8,250
1,1,15,255
1,1,22,260
1,1,29,262
1,1,36,258
1,1,43,266
1,1,44,266
1,1,50,265
1,1,57,272
1,1,64,278
2,1,1,225
2,1,8,230
2,1,15,230
2,1,22,232
2,1,29,240
2,1,36,240
2,1,43,243
2,1,44,244
2,1,50,238
2,1,57,247
2,1,64,245
3,1,1,245
3,1,8,250
3,1,15,250
3,1,22,255
3,1,29,262
3,1,36,265
3,1,43,267
3,1,44,267
3,1,50,264
3,1,57,268
3,1,64,269
4,1,1,260
4,1,8,255
4,1,15,255
4,1,22,265
4,1,29,265
4,1,36,268
4,1,43,270
4,1,44,272
4,1,50,274
4,1,57,273
4,1,64,275
5,1,1,255
5,1,8,260
5,1,15,255
5,1,22,270
5,1,29,270
5,1,36,273
5,1,43,274
5,1,44,273
5,1,50,276
5,1,57,278
5,1,64,280
6,1,1,260
6,1,8,265
6,1,15,270
6,1,22,275
6,1,29,275
6,1,36,277
6,1,43,278
6,1,44,278
6,1,50,284
6,1,57,279
6,1,64,281
7,1,1,275
7,1,8,275
7,1,15,260
7,1,22,270
7,1,29,273
7,1,36,274
7,1,43,276
7,1,44,271
7,1,50,282
7,1,57,281
7,1,64,284
8,1,1,245
8,1,8,255
8,1,15,260
8,1,22,268
8,1,29,270
8,1,36,265
8,1,43,265
8,1,44,267
8,1,50,273
8,1,57,274
8,1,64,278
9,2,1,410
9,2,8,415
9,2,15,425
9,2,22,428
9,2,29,438
9,2,36,443
9,2,43,442
9,2,44,446
9,2,50,456
9,2,57,468
9,2,64,478
10,2,1,405
10,2,8,420
10,2,15,430
10,2,22,440
10,2,29,448
10,2,36,460
10,2,43,458
10,2,44,464
10,2,50,475
10,2,57,484
10,2,64,496
11,2,1,445
11,2,8,445
11,2,15,450
11,2,22,452
11,2,29,455
11,2,36,455
11,2,43,451
11,2,44,450
11,2,50,462
11,2,57,466
11,2,64,472
12,2,1,555
12,2,8,560
12,2,15,565
12,2,22,580
12,2,29,590
12,2,36,597
12,2,43,595
12,2,44,595
12,2,50,612
12,2,57,618
12,2,64,628
13,3,1,470
13,3,8,465
13,3,15,475
13,3,22,485
13,3,29,487
13,3,36,493
13,3,43,493
13,3,44,504
13,3,50,507
13,3,57,518
13,3,64,525
14,3,1,535
14,3,8,525
14,3,15,530
14,3,22,533
14,3,29,535
14,3,36,540
14,3,43,525
14,3,44,530
14,3,50,543
14,3,57,544
14,3,64,559
15,3,1,520
15,3,8,525
15,3,15,530
15,3,22,540
15,3,29,543
15,3,36,546
15,3,43,538
15,3,44,544
15,3,50,553
15,3,57,555
15,3,64,548
16,3,1,510
16,3,8,510
16,3,15,520
16,3,22,515
16,3,29,530
16,3,36,538
16,3,43,535
16,3,44,542
16,3,50,550
16,3,57,553
16,3,64,569
